event_id,mom,year,calf
253,1316,1983,1317
254,1318,1983,1319
255,1318,1985,1504
256,1321,1991,1991CalfOf1321
257,1321,1998,1998CalfOf1321
258,1321,2004,3421
259,1321,2008,3821
260,1321,2014,2014CalfOf1321
261,1334,1983,1983CalfOf1334
262,1334,1986,1986CalfOf1334
263,1334,1989,1920
264,1334,1992,1992CalfOf1334
265,1334,1996,1996CalfOf1334
266,1334,2000,2000CalfOf1334
267,1334,2005,2005CalfOf1334
268,1334,2009,3934
269,1334,2013,2013CalfOf1334
270,1405,1997,2705
271,1406,1994,2406
272,1407,1984,1426
273,1407,1989,1907
274,1407,1993,2307
275,1407,2001,3107
276,1408,1996,2608
277,1408,2002,3208
278,1408,2005,3508
279,1408,2008,3808
280,1408,2013,4308
281,1412,1984,1984CalfOf1412
282,1412,1997,3194
283,1412,2017,2017CalfOf1412
284,1425,1994,2425
285,1425,2001,3125
286,1425,2007,3725
287,1425,2014,4425
288,1430,1992,2230
289,1430,1997,1997CalfOf1430
290,1430,2002,3296
291,1501,1980,1424
292,1501,1985,1985CalfOf1501
293,1503,1995,2503
294,1503,2003,3303
295,1503,2006,3603
296,1503,2009,3903
297,1509,1986,1610
298,1509,1989,1909
299,1509,1992,2209
300,1509,1997,2709
301,1509,2001,3109
302,1509,2004,3530
303,1515,1985,1985CalfOf1515
304,1515,1988,1806
305,1515,1992,1992CalfOf1515
306,1515,1998,1998CalfOf1515
307,1515,2003,2003CalfOf1515
308,1515,2009,3915
309,1515,2017,2017CalfOf1515
310,1601,1997,2701
311,1602,1996,2602
312,1602,2001,3102
313,1604,1993,2304
314,1604,2002,2002CalfOf1604
315,1604,2005,3595
316,1604,2011,2011CalfOf1604
317,1604,2015,4504
318,1608,2003,3308
319,1608,2009,3908
320,1611,2001,3111
321,1611,2006,3611
322,1611,2009,3950
323,1611,2015,2015CalfOf1611
324,1612,1986,1613
325,1612,1992,2212
326,1612,1999,2912
327,1612,2003,3312
328,1612,2009,3994
329,1612,2013,2013CalfOf1612
330,1619,1970,1970CalfOf1619
331,1619,1987,1712
332,1619,1990,1990CalfOf1619
333,1620,1996,1996CalfOf1620
334,1620,2001,2001CalfOf1620
335,1620,2004,2004CalfOf1620
336,1620,2007,3720
337,1620,2010,4020
338,1620,2015,2015CalfOf1620
339,1622,1997,1997CalfOf1622
340,1622,2002,3440
341,1622,2005,3522
342,1622,2008,3822
343,1629,1990,2029
344,1629,2002,3229
345,1632,2002,3232
346,1632,2005,3532
347,1632,2008,3832
348,1632,2013,4332
349,1701,1996,2601
350,1701,2001,3101
351,1701,2004,3401
352,1701,2007,3701
353,1701,2010,4001
354,1701,2015,2015CalfOf1701
355,1703,2001,3103
356,1703,2005,3503
357,1703,2008,3803
358,1703,2015,2015CalfOf1703
359,1704,1997,2704
360,1705,1996,2605
361,1705,2004,3405
362,1705,2007,3750
363,1705,2012,2012CalfOf1705
364,1707,1997,2707
365,1710,1987,1711
366,1710,1991,2110
367,1710,1996,1996CalfOf1710
368,1710,2001,3110
369,1710,2007,3792
370,1711,2003,3311
371,1711,2009,3996
372,1711,2017,2017CalfOf1711
373,1713,1988,1808
374,1802,2003,3302
375,1802,2006,3602
376,1802,2008,3802
377,1802,2011,4102
378,1810,1994,1994CalfOf1810
379,1810,1998,2810
380,1810,2002,3290
381,1810,2007,3794
382,1810,2016,2016CalfOf1810
383,1812,1996,1996CalfOf1812
384,1812,2002,2002CalfOf1812
385,1812,2004,3680
386,1812,2008,3812
387,1812,2012,4212
388,1812,2016,2016CalfOf1812
389,1814,2007,3790
390,1815,1996,2615
391,1815,2001,3115
392,1817,1996,2617
393,1817,2003,3317
394,1817,2006,3617
395,1817,2009,2009CalfOf1817
396,1911,2001,3120
397,1911,2004,3411
398,1911,2007,3711
399,1911,2011,4111
400,1933,2001,2001CalfOf1933
401,1946,1997,2746
402,1946,2003,3346
403,1946,2006,3646
404,1946,2009,3992
405,1946,2013,4346
406,1950,1997,2750
407,1950,2003,3350
408,1950,2006,3650
409,1950,2010,4050
410,1950,2015,2015CalfOf1950
411,1970,1996,1996CalfOf1970
412,1970,2001,2001CalfOf1970
413,1970,2005,3580
414,1970,2009,2009CalfOf1970
415,2029,2003,3329
416,2029,2006,3629
417,2029,2011,4129
418,2040,2002,3230
419,2040,2005,3520
420,2040,2008,3860
421,2040,2011,4140
422,2040,2014,4440
423,2042,2013,2013CalfOf2042
424,2050,2001,3150
425,2114,2003,3314
426,2123,2001,2001CalfOf2123
427,2123,2003,3323
428,2123,2006,3623
429,2123,2009,3923
430,2123,2014,4423
431,2145,2001,3170
432,2145,2004,3445
433,2145,2007,2007CalfOf2145
434,2145,2009,3945
435,2145,2015,4545
436,2150,2001,3180
437,2210,1999,2940
438,2223,2005,3523
439,2223,2009,3998
440,2223,2015,4523
441,2240,2001,3130
442,2301,2003,3310
443,2320,2006,3670
444,2320,2009,3993
445,2320,2013,4320
446,2330,2004,3430
447,2330,2008,3830
448,2330,2013,4330
449,2360,2004,3460
450,2360,2007,3760
451,2360,2010,4060
452,2413,2005,3513
453,2413,2011,2011CalfOf2413
454,2413,2013,4313
455,2420,1994,1994CalfOf2420
456,2420,2002,2002CalfOf2420
457,2420,2006,2006CalfOf2420
458,2420,2011,4120
459,2430,2007,3730
460,2430,2010,4030
461,2460,2004,3420
462,2460,2007,3710
463,2460,2010,4070
464,2503,2006,3620
465,2503,2009,3980
466,2503,2014,2014CalfOf2503
467,2520,1995,1995CalfOf2520
468,2520,1999,3060
469,2520,2003,3330
470,2520,2009,3999
471,2520,2016,2016CalfOf2520
472,2601,2007,3740
473,2605,2007,3705
474,2605,2010,4005
475,2605,2015,2015CalfOf2605
476,2610,1996,2611
477,2611,2007,2007CalfOf2611
478,2611,2009,3911
479,2611,2015,2015CalfOf2611
480,2614,2004,3414
481,2614,2007,3714
482,2614,2010,4014
483,2614,2017,2017CalfOf2614
484,2642,2007,3742
485,2642,2010,4091
486,2645,2005,3597
487,2645,2007,3745
488,2645,2010,4045
489,2645,2014,4445
490,2660,2006,3660
491,2660,2009,3910
492,2660,2011,4160
493,2710,2006,3630
494,2710,2010,4010
495,2746,2007,3746
496,2746,2011,4146
497,2746,2014,4446
498,2753,2008,3853
499,2753,2013,4353
500,2790,2005,3594
501,2790,2008,3890
502,2790,2011,4190
503,2790,2015,2015CalfOf2790
504,2791,2006,3691
505,2791,2009,3991
506,2912,2007,3712
507,2912,2013,2013CalfOf2912
508,3010,2005,3510
509,3010,2011,4110
510,3020,2008,3820
511,3020,2011,2011CalfOf3020
512,3101,2009,3901
513,3101,2016,2016CalfOf3101
514,3108,2009,3920
515,3115,2008,3815
516,3115,2011,4115
517,3115,2016,2016CalfOf3115
518,3123,2010,4023
519,3130,2008,3810
520,3130,2011,4191
521,3139,2009,2009CalfOf3139
522,3139,2015,2015CalfOf3139
523,3142,2010,4042
524,3157,2010,4057
525,3157,2014,2014CalfOf3157
526,3180,2008,3880
527,3180,2010,4080
528,3180,2016,2016CalfOf3180
529,3220,2002,2002CalfOf3220
530,3220,2012,2012CalfOf3220
531,3232,2015,2015CalfOf3232
532,3240,2011,4194
533,3260,2010,4096
534,3270,2011,2011CalfOf3270
535,3280,2007,2007CalfOf3280
536,3290,2009,3990
537,3292,2008,3892
538,3292,2015,2015CalfOf3292
539,3293,2008,3893
540,3293,2011,4193
541,3294,2013,4394
542,3317,2009,3917
543,3317,2016,2016CalfOf3317
544,3320,2009,3970
545,3360,2007,3791
546,3360,2010,4090
547,3370,2009,3997
548,3390,2012,4290
549,3405,2016,2016CalfOf3405
550,3420,2015,2015CalfOf3420
551,3430,2011,4130
552,3440,2009,3940
553,3440,2016,2016CalfOf3440
554,3450,2016,2016CalfOf3450
555,3513,2013,2013CalfOf3513
556,3515,2013,4310
557,3520,2013,2013CalfOf3520
558,3540,2013,2013CalfOf3540
559,3546,2014,2014CalfOf3546
560,3646,2015,2015CalfOf3646
561,3692,2013,2013CalfOf3692
562,3693,2015,2015CalfOf3693
563,3860,2016,2016CalfOf3860
564,3995,2012,2012CalfOf3995
565,4094,2016,4694
