Parameter,Year,Lower95,Median,Upper95,Mean,SD
NumAFW[8],1997,49,52,56,52.2729333333333,1.92167387709393
NumAFW[9],1998,67,71,74,70.9294,1.82960666684177
NumAFW[10],1999,85,88,91,88.2980333333333,1.75230661838572
NumAFW[11],2000,88,91,94,90.7712333333333,1.7957746626763
NumAFW[12],2001,62,65,68,64.6319333333333,1.71575786648081
NumAFW[13],2002,51,54,57,53.6812333333333,1.69948543798234
NumAFW[14],2003,56,60,63,59.6215,1.91432143875727
NumAFW[15],2004,65,69,72,68.9183333333333,1.94195509608454
NumAFW[16],2005,58,62,65,61.6915666666667,1.9086706489973
NumAFW[17],2006,51,55,58,54.7470333333333,2.06503833983788
NumAFW[18],2007,58,61,65,61.5076666666667,2.04970272599005
NumAFW[19],2008,57,60,64,60.5512333333333,2.03978279138166
NumAFW[20],2009,52,55,59,55.5213333333333,2.03145656678855
NumAFW[21],2010,58,63,66,62.5627,2.10771996703752
NumAFW[22],2011,75,79,83,78.6278,2.24014161036332
NumAFW[23],2012,88,93,97,92.9197,2.33714226876888
NumAFW[24],2013,96,101,105,101.1521,2.4779366945792
NumAFW[25],2014,92,97,101,96.9297,2.46818981753143
NumAFW[26],2015,96,101,106,101.333,2.71041618179373
NumAFW[27],2016,95,99,104,99.4085,2.55506921549232
NumAFW[28],2017,113,118,122,118.1042,2.3828970393081
NumAFW[29],2018,118,121,125,121.549033333333,1.93841541317456
NumAFW[30],2019,118,122,125,122.053833333333,1.97352437671907
NumAFW[31],2020,98,102,106,102.040866666667,2.14310126024319
NumAFW[32],2021,87,92,97,92.5487666666667,2.65677569510965
